2021-06-08 17:01:23.665  INFO 11220 --- [main] o.a.m.webapp.WebConfigParamsLogger       : No context init parameter 'javax.faces.FACELETS_SUFFIX' found, using default value '.xhtml'.
2021-06-08 17:01:23.665  INFO 11220 --- [main] o.a.m.webapp.WebConfigParamsLogger       : No context init parameter 'javax.faces.FACELETS_VIEW_MAPPINGS' found.
2021-06-08 17:01:23.665  INFO 11220 --- [main] o.a.m.webapp.WebConfigParamsLogger       : No context init parameter 'DISABLE_FACELET_JSF_VIEWHANDLER' found.
2021-06-08 17:01:23.665  INFO 11220 --- [main] o.a.m.webapp.WebConfigParamsLogger       : No context init parameter 'javax.faces.FACELETS_BUFFER_SIZE' found, using default value '1024'.
2021-06-08 17:01:23.665  INFO 11220 --- [main] o.a.m.webapp.WebConfigParamsLogger       : No context init parameter 'javax.faces.FACELETS_DECORATORS' found.
2021-06-08 17:01:23.665  INFO 11220 --- [main] o.a.m.webapp.WebConfigParamsLogger       : No context init parameter 'javax.faces.FACELETS_LIBRARIES' found.
2021-06-08 17:01:23.665  INFO 11220 --- [main] o.a.m.webapp.WebConfigParamsLogger       : No context init parameter 'javax.faces.FACELETS_REFRESH_PERIOD' found, using default value '-1'.
2021-06-08 17:01:23.665  INFO 11220 --- [main] o.a.m.webapp.WebConfigParamsLogger       : No context init parameter 'javax.faces.FACELETS_SKIP_COMMENTS' found.
2021-06-08 17:01:23.665  INFO 11220 --- [main] o.a.m.webapp.WebConfigParamsLogger       : No context init parameter 'javax.faces.HONOR_CURRENT_COMPONENT_ATTRIBUTES' found, using default value 'false'.
2021-06-08 17:01:23.665  INFO 11220 --- [main] o.a.m.webapp.WebConfigParamsLogger       : No context init parameter 'javax.faces.VALIDATE_EMPTY_FIELDS' found, using default value 'auto'.
2021-06-08 17:01:23.665  INFO 11220 --- [main] o.a.m.webapp.WebConfigParamsLogger       : No context init parameter 'javax.faces.INTERPRET_EMPTY_STRING_SUBMITTED_VALUES_AS_NULL' found, using default value 'false'.
2021-06-08 17:01:23.666  INFO 11220 --- [main] o.a.m.webapp.WebConfigParamsLogger       : No context init parameter 'javax.faces.DATETIMECONVERTER_DEFAULT_TIMEZONE_IS_SYSTEM_TIMEZONE' found, using default value 'false'.
2021-06-08 17:01:23.666  INFO 11220 --- [main] o.a.m.webapp.WebConfigParamsLogger       : No context init parameter 'org.apache.myfaces.ENUM_CONVERTER_ALLOW_STRING_PASSTROUGH' found, using default value 'false'.
2021-06-08 17:01:23.666  INFO 11220 --- [main] o.a.m.webapp.WebConfigParamsLogger       : No context init parameter 'javax.faces.validator.DISABLE_DEFAULT_BEAN_VALIDATOR' found, using default value 'true'.
